employee_id,total_tasks_assigned,tasks_completed,deadlines_met,avg_efficiency,avg_satisfaction,avg_hours_estimated,avg_hours_actual,high_priority_tasks,department,role,years_experience,completion_rate,deadline_adherence_rate,time_efficiency_ratio,performance_score,performance_tier
EMP0001,9,9,4,75.51111111111112,2.0,29.666666666666668,42.7,4,Support,Support Agent,0.9,100.0,44.44,0.695,69.43,Average Performer
EMP0002,9,9,3,85.09999999999998,3.3333333333333335,22.88888888888889,36.62222222222223,4,Sales,Sales Rep,11.2,100.0,33.33,0.625,72.02,Average Performer
EMP0003,10,8,1,78.15,2.875,20.6,24.775,5,Finance,Accountant,1.0,80.0,12.5,0.831,56.0,Needs Improvement
EMP0004,7,7,3,81.61428571428571,2.4285714285714284,22.428571428571427,31.78571428571429,3,Sales,Sales Lead,9.2,100.0,42.86,0.706,71.47,Average Performer
EMP0005,13,11,5,79.26363636363637,3.272727272727273,23.923076923076923,24.88181818181818,1,Support,Customer Success,10.7,84.62,45.45,0.961,68.92,Average Performer
EMP0006,10,7,2,76.58571428571429,3.4285714285714284,21.4,23.24285714285714,2,Marketing,Marketing Manager,4.5,70.0,28.57,0.921,58.67,Needs Improvement
EMP0007,9,7,1,82.7,3.142857142857143,23.88888888888889,21.185714285714283,1,Support,Support Lead,5.4,77.78,14.29,1.128,57.48,Needs Improvement
EMP0008,7,5,2,79.08000000000001,3.0,20.428571428571427,26.6,3,HR,HR Coordinator,1.8,71.43,40.0,0.768,61.82,Average Performer
EMP0009,10,10,4,81.84,2.7,16.7,24.53,1,HR,Recruiter,4.3,100.0,40.0,0.681,71.47,Average Performer
EMP0010,7,7,3,78.92857142857143,2.857142857142857,19.285714285714285,29.771428571428572,2,Finance,Analyst,14.6,100.0,42.86,0.648,72.22,Average Performer
EMP0011,7,7,3,81.74285714285715,2.857142857142857,19.0,30.37142857142857,1,Finance,Accountant,12.5,100.0,42.86,0.626,72.78,Average Performer
EMP0012,9,8,2,80.0375,2.625,22.555555555555557,28.724999999999998,3,Finance,Analyst,10.7,88.89,25.0,0.785,62.49,Average Performer
EMP0013,8,8,3,81.45,3.25,21.875,30.625,1,HR,HR Coordinator,12.9,100.0,37.5,0.714,72.29,Average Performer
EMP0014,9,7,4,79.4,3.2857142857142856,21.77777777777778,35.18571428571429,1,HR,HR Manager,9.7,77.78,57.14,0.619,70.1,Average Performer
EMP0015,8,7,0,76.45714285714287,2.142857142857143,18.875,22.857142857142854,2,HR,HR Manager,3.5,87.5,0.0,0.826,52.34,Needs Improvement
EMP0016,9,7,3,75.94285714285714,2.2857142857142856,15.88888888888889,17.257142857142856,2,Finance,Finance Manager,3.0,77.78,42.86,0.921,62.13,Average Performer
EMP0017,8,6,4,85.88333333333333,3.0,24.0,31.666666666666668,5,Marketing,SEO Specialist,4.4,75.0,66.67,0.758,72.43,Average Performer
EMP0018,11,9,7,80.5111111111111,3.111111111111111,20.09090909090909,24.677777777777777,5,Support,Support Lead,12.7,81.82,77.78,0.814,77.41,Average Performer
EMP0019,12,6,3,68.3,4.166666666666667,15.333333333333334,17.599999999999998,2,Engineering,Senior Dev,6.3,50.0,50.0,0.871,58.66,Needs Improvement
EMP0020,9,9,4,73.13333333333333,3.4444444444444446,24.555555555555557,34.94444444444444,4,Finance,Finance Manager,5.1,100.0,44.44,0.703,73.29,Average Performer
EMP0021,15,12,2,81.67500000000001,2.9166666666666665,20.333333333333332,28.583333333333332,5,Support,Support Lead,2.6,80.0,16.67,0.711,58.09,Needs Improvement
