task_id,employee_id,department,task_category,priority,assigned_date,deadline,completion_date,completed,deadline_met,hours_estimated,hours_actual,efficiency_score,satisfaction_rating
TASK00001,EMP0096,HR,Training,Medium,2025-11-20,2025-11-25,2025-11-30,True,False,32,27.7,74.3,2.0
TASK00002,EMP0200,Engineering,Client Call,Medium,2025-05-10,2025-05-20,2025-05-20,True,True,6,5.5,70.8,3.0
TASK00003,EMP0078,Engineering,Report,Critical,2025-07-23,2025-08-01,2025-07-30,True,True,20,31.8,73.9,2.0
TASK00004,EMP0093,HR,Documentation,Medium,2026-01-13,2026-01-21,2026-01-25,True,False,31,58.9,84.0,2.0
TASK00005,EMP0046,Sales,Report,Medium,2025-10-22,2025-10-26,2025-10-30,True,False,4,3.9,76.2,4.0
TASK00006,EMP0105,Sales,Code Review,Medium,2025-11-11,2025-11-22,2025-11-22,True,True,33,64.3,90.1,5.0
TASK00007,EMP0116,Support,Report,Critical,2025-10-07,2025-10-13,2025-10-18,True,False,8,10.3,92.6,1.0
TASK00008,EMP0053,Sales,Meeting,High,2026-02-17,2026-02-24,2026-02-24,True,True,6,7.2,76.1,3.0
TASK00009,EMP0143,Marketing,Testing,Medium,2025-04-27,2025-05-04,2025-05-07,True,False,36,38.5,70.7,4.0
TASK00010,EMP0082,Sales,Feature Dev,High,2025-07-13,2025-07-14,2025-07-15,True,False,20,39.9,92.5,4.0
TASK00011,EMP0188,Sales,Meeting,Critical,2025-04-30,2025-05-13,2025-05-12,True,True,30,22.5,82.4,1.0
TASK00012,EMP0096,HR,Documentation,Low,2025-10-12,2025-10-25,2025-10-28,True,False,25,28.7,97.3,5.0
TASK00013,EMP0168,Support,Client Call,Medium,2025-07-13,2025-07-24,2025-07-24,True,True,13,8.0,95.6,5.0
TASK00014,EMP0131,Support,Documentation,Medium,2025-10-18,2025-10-26,,False,False,11,,,
TASK00015,EMP0010,Finance,Training,Medium,2025-09-14,2025-09-19,2025-09-17,True,True,31,57.4,67.5,2.0
TASK00016,EMP0163,Sales,Client Call,Low,2025-12-03,2025-12-09,,False,False,21,,,
TASK00017,EMP0136,Finance,Feature Dev,Medium,2026-01-25,2026-02-02,2026-02-03,True,False,26,46.3,80.2,2.0
TASK00018,EMP0153,Support,Client Call,Medium,2025-09-02,2025-09-08,2025-09-10,True,False,3,5.9,86.5,3.0
TASK00019,EMP0144,Support,Meeting,Low,2025-08-09,2025-08-23,2025-08-21,True,True,40,64.7,100.0,2.0
TASK00020,EMP0132,Support,Code Review,Medium,2025-10-18,2025-10-24,2025-10-25,True,False,18,27.3,80.1,1.0
TASK00021,EMP0199,Marketing,Code Review,Critical,2026-03-26,2026-04-06,2026-04-11,True,False,4,5.5,80.9,1.0
TASK00022,EMP0184,Engineering,Training,Critical,2025-11-05,2025-11-11,2025-11-11,True,True,14,9.8,79.0,3.0
TASK00023,EMP0153,Support,Meeting,Medium,2025-07-07,2025-07-12,2025-07-14,True,False,32,62.4,100.0,3.0
TASK00024,EMP0126,Marketing,Documentation,High,2025-11-27,2025-12-05,,False,False,11,,,
TASK00025,EMP0035,Engineering,Client Call,High,2025-06-29,2025-07-11,2025-07-15,True,False,37,38.8,89.2,1.0
TASK00026,EMP0120,Sales,Testing,Low,2025-05-29,2025-05-31,2025-06-02,True,False,39,41.8,89.7,1.0
TASK00027,EMP0074,HR,Report,Medium,2026-04-10,2026-04-18,2026-04-21,True,False,16,23.5,85.1,3.0
TASK00028,EMP0187,Sales,Feature Dev,Medium,2025-07-15,2025-07-17,2025-07-16,True,True,21,41.9,91.8,1.0
TASK00029,EMP0093,HR,Training,Low,2025-08-27,2025-09-05,2025-09-10,True,False,25,37.6,79.4,4.0
TASK00030,EMP0056,Sales,Client Call,Medium,2025-05-09,2025-05-21,2025-05-25,True,False,8,14.0,86.3,3.0
TASK00031,EMP0105,Sales,Feature Dev,Low,2026-01-03,2026-01-09,2026-01-14,True,False,17,30.3,77.7,3.0
TASK00032,EMP0094,Finance,Feature Dev,Medium,2025-08-18,2025-08-29,2025-09-02,True,False,19,14.9,92.8,4.0
TASK00033,EMP0077,Engineering,Documentation,Low,2025-10-13,2025-10-17,2025-10-15,True,True,5,8.4,73.5,2.0
TASK00034,EMP0115,Marketing,Documentation,High,2025-09-04,2025-09-08,2025-09-09,True,False,39,32.1,58.0,3.0
TASK00035,EMP0029,HR,Meeting,High,2025-07-30,2025-08-12,,False,False,2,,,
TASK00036,EMP0021,Support,Meeting,High,2025-11-23,2025-11-26,,False,False,36,,,
TASK00037,EMP0144,Support,Documentation,High,2025-09-18,2025-09-20,2025-09-19,True,True,10,5.2,78.4,5.0
TASK00038,EMP0169,HR,Feature Dev,Medium,2025-06-02,2025-06-05,2025-06-05,True,True,28,36.1,74.0,4.0
TASK00039,EMP0042,Engineering,Bug Fix,Medium,2026-04-08,2026-04-14,2026-04-13,True,True,30,37.7,78.2,5.0
TASK00040,EMP0122,Marketing,Report,Medium,2025-09-17,2025-09-28,,False,False,5,,,
TASK00041,EMP0090,Finance,Feature Dev,High,2025-07-31,2025-08-07,2025-08-12,True,False,30,18.3,84.5,3.0
TASK00042,EMP0132,Support,Training,Medium,2025-09-30,2025-10-02,2025-10-05,True,False,26,51.8,83.9,3.0
TASK00043,EMP0068,HR,Documentation,Medium,2025-07-07,2025-07-17,2025-07-16,True,True,37,58.5,78.2,4.0
TASK00044,EMP0159,Support,Feature Dev,Medium,2025-09-11,2025-09-15,2025-09-20,True,False,27,30.3,80.0,3.0
TASK00045,EMP0057,Support,Feature Dev,Medium,2025-04-28,2025-05-09,2025-05-09,True,True,32,19.2,86.3,1.0
TASK00046,EMP0142,Engineering,Training,Medium,2025-11-06,2025-11-18,2025-11-18,True,True,37,21.8,77.7,5.0
TASK00047,EMP0027,HR,Meeting,Medium,2025-12-27,2025-12-29,2026-01-02,True,False,5,9.8,55.8,3.0
TASK00048,EMP0024,Marketing,Testing,Low,2025-10-06,2025-10-15,2025-10-20,True,False,16,28.3,67.1,5.0
TASK00049,EMP0121,Finance,Training,Medium,2025-07-23,2025-08-05,2025-08-06,True,False,29,51.3,91.7,1.0
TASK00050,EMP0048,Engineering,Bug Fix,Medium,2025-08-11,2025-08-22,,False,False,19,,,
TASK00051,EMP0034,HR,Code Review,Low,2025-11-14,2025-11-26,2025-11-29,True,False,24,12.2,72.8,5.0
TASK00052,EMP0193,Marketing,Documentation,Medium,2026-02-24,2026-02-26,2026-02-25,True,True,7,11.3,96.2,4.0
TASK00053,EMP0015,HR,Feature Dev,Medium,2026-03-29,2026-04-04,2026-04-06,True,False,22,36.6,83.2,1.0
TASK00054,EMP0133,Sales,Client Call,Low,2025-04-17,2025-04-30,2025-04-29,True,True,19,22.1,92.2,4.0
TASK00055,EMP0075,Engineering,Meeting,Medium,2025-11-11,2025-11-18,2025-11-17,True,True,24,27.5,79.5,5.0
TASK00056,EMP0104,Engineering,Bug Fix,Medium,2026-01-27,2026-02-07,2026-02-08,True,False,27,53.4,55.6,1.0
TASK00057,EMP0079,Sales,Bug Fix,Low,2025-05-03,2025-05-07,2025-05-09,True,False,20,19.8,85.0,4.0
TASK00058,EMP0039,Support,Testing,High,2025-10-15,2025-10-18,2025-10-19,True,False,34,45.5,89.2,1.0
TASK00059,EMP0151,Engineering,Testing,Medium,2025-04-26,2025-05-08,2025-05-06,True,True,31,58.3,81.9,5.0
